行业大类,年份,占比
互联网,2015,17
互联网,2016,9
互联网,2017,12
互联网,2018,15
互联网,2019,12
房地产,2015,23
房地产,2016,23
房地产,2017,18
房地产,2018,47
房地产,2019,17
制造业 ,2015,39
制造业 ,2016,49
制造业 ,2017,35
制造业 ,2018,98
制造业 ,2019,45
运输业 ,2015,0
运输业 ,2016,0
运输业 ,2017,3
运输业 ,2018,4
运输业 ,2019,3
农牧业,2015,4
农牧业,2016,1
农牧业,2017,4
农牧业,2018,3
农牧业,2019,1
金融 ,2015,9
金融 ,2016,11
金融 ,2017,18
金融 ,2018,17
金融 ,2019,11
销售业,2015,5
销售业,2016,1
销售业,2017,5
销售业,2018,5
销售业,2019,3
教育,2015,0
教育,2016,0
教育,2017,2
教育,2018,1
教育,2019,2
服务业,2015,2
服务业,2016,3
服务业,2017,1
服务业,2018,10
服务业,2019,6
